sale_id,salesperson,region,category,quantity,unit_price,sale_date,discount
113,Alice,east,FOOD,13,240.44,2024-01-15,0.36
114,Bob,East,Electronics,29,264.41,2024-06-12,0.15
115,Alice,,Electronics,36,145.65,2024-11-20,0.13
116,Charlie,,Food,45,68.83,2024-02-10,0.26
117,Charlie,South,electronics,33,184.49,2024-04-11,0.19
118,Charlie,East,Electronics,7,272.19,2024-09-02,0.35
119,alice,East,Clothing,45,405.48,2024-08-02,0.27
120,BOB,  North ,FOOD,29,123.39,2024-08-27,0.27
121,BOB,east,FOOD,25,212.24,2024-04-26,0.35
122,BOB,,,46,426.33,2024-03-09,0.21
123,Bob,West,FOOD,23,210.37,2024-06-08,0.03
124,,South,FOOD,22,73.11,2024-08-23,0.3
125,Alice,South,Electronics,10,364.98,2024-02-25,0.12
126,alice,east,Electronics,32,13.14,2024-04-23,0.17
127,Diana,SOUTH,Clothing,6,183.5,2024-09-17,0.2
128,BOB,North,electronics,24,13.04,2024-06-08,0.25
129,,East,Electronics,22,91.67,2024-08-23,0.07
130,BOB,North,Food,13,161.22,2024-07-27,0.1
131,Diana,  North ,Food,4,169.3,2024-06-14,0.3
132,alice,,Clothing,32,399.66,2024-02-24,0.17
133,Charlie,  North ,Food,21,156.72,2024-07-06,0.14
134,,SOUTH,Food,4,320.57,2024-12-22,0.01
135,BOB,North,Clothing,50,184.26,2024-01-20,0.18
136,BOB,South,,24,326.53,2024-02-01,0.2
137,Bob,  North ,FOOD,29,307.88,2024-08-07,0.34
138,BOB,South,FOOD,21,356.22,2024-05-10,0.28
139,Charlie,,,13,122.18,2024-06-18,0.19
140,Charlie,South,Electronics,46,265.22,2024-10-03,0.13
141,BOB,,Clothing,50,295.95,2024-03-14,0.35
142,Charlie,  North ,Clothing,46,474.0,2024-05-28,
143,Eve,East,electronics,35,322.29,2024-10-05,0.25
144,,North,FOOD,6,,2024-10-09,0.31
145,Alice,east,electronics,42,244.06,2024-11-13,0.03
146,BOB,SOUTH,Books,22,159.73,2024-12-28,0.16
147,Bob,,Clothing,18,74.73,2024-07-28,0.1
148,Charlie,,,13,251.64,2024-08-10,0.04
149,BOB,West,Clothing,4,249.97,2024-11-22,0.21
150,alice,East,Food,49,27.39,2024-09-07,0.12
151,BOB,  North ,FOOD,44,68.69,2024-06-26,0.22
152,Charlie,West,,33,,not-a-date,0.19
153,Charlie,,,26,370.96,2024-06-17,0.21
154,Eve,east,FOOD,,59.25,2024-05-26,0.35
155,BOB,  North ,electronics,50,117.63,2024-08-06,0.29
156,alice,East,FOOD,3,351.76,2024-08-11,0.17
157,BOB,North,electronics,14,499.07,2024-07-11,0.18
158,,  North ,,16,152.76,2024-05-25,0.08
159,,east,Food,47,65.33,2024-07-13,0.38
160,Eve,North,Food,6,223.98,2024-08-07,0.22
161,Eve,East,Electronics,38,30.13,2024-04-21,0.04
162,BOB,South,electronics,1,489.07,2024-11-16,0.08
163,,  North ,electronics,50,289.2,2024-12-28,0.37
164,Charlie,North,FOOD,32,375.76,2024-05-02,
165,Bob,,Food,42,249.49,2024-09-15,0.32
166,BOB,  North ,electronics,48,151.04,2024-04-06,0.26
167,alice,,Electronics,7,74.6,2024-04-01,0.09
168,,  North ,,1,182.98,2024-11-04,0.06
169,Eve,South,electronics,19,114.32,2024-08-05,0.4
170,BOB,West,FOOD,49,394.75,2024-09-23,0.37
171,Diana,East,Clothing,34,341.75,2024-08-03,0.18
172,Charlie,SOUTH,Books,36,404.42,2024-07-09,0.3
173,Alice,SOUTH,Food,35,467.62,2024-08-02,0.07
174,alice,,Books,25,342.95,2024-09-05,0.14
175,alice,East,electronics,1,489.35,2024-12-18,0.15
176,BOB,,Clothing,47,20.95,2024-10-25,0.36
177,Bob,South,,,353.13,2024-12-02,0.09
178,Alice,East,,15,367.1,2024-10-25,0.13
179,Charlie,West,Books,4,297.88,2024-03-21,0.22
180,,SOUTH,FOOD,45,78.86,2024-09-16,0.09
181,Charlie,east,Electronics,27,71.38,2024-04-11,0.37
182,Bob,West,Electronics,44,24.58,2024-10-24,0.09
183,,  North ,Electronics,13,63.07,2024-08-08,0.28
184,Diana,,FOOD,30,182.83,2024-09-16,0.32
185,,West,Food,3,114.53,2024-05-18,0.23
186,Charlie,West,Food,37,252.15,2024-11-11,0.33
187,BOB,east,Clothing,23,361.56,2024-09-21,0.21
188,Bob,North,FOOD,,317.2,2024-03-01,0.18
189,BOB,east,Electronics,,10.87,2024-05-18,0.01
190,alice,East,Electronics,34,100.01,2024-06-09,0.03
191,BOB,West,electronics,44,44.91,2024-11-25,
192,alice,east,Electronics,45,252.43,2024-06-19,0.39
193,Alice,West,Clothing,45,240.37,2024-02-22,0.36
194,Alice,East,FOOD,14,377.37,2024-07-03,0.23
195,alice,,Books,9,346.21,2024-12-12,
196,Bob,,,39,387.91,N/A,0.18
197,alice,SOUTH,Clothing,43,387.22,2024-04-23,
198,alice,East,electronics,24,7.57,2024-06-25,0.05
199,BOB,SOUTH,Electronics,,51.07,2024-06-28,0.12
200,Bob,West,,44,73.73,2024-08-05,
28,BOB,SOUTH,,,442.14,2024-09-02,0.23
18,Bob,North,Books,7,99.15,2024-07-06,0.1
27,Eve,east,Food,4,214.67,2024-01-11,0.25
20,Alice,East,Books,,463.63,2024-05-14,0.29
31,Diana,  North ,Clothing,7,24.17,2024-04-27,0.14
5,Eve,South,FOOD,7,229.44,2024-03-12,0.27
24,Eve,east,Food,5,,2024-10-04,
17,Diana,east,FOOD,7,218.37,2024-08-28,0.27
16,Diana,South,Electronics,5,142.85,2024-09-05,0.35
47,Diana,east,Food,25,475.85,2024-02-16,
